id,TicketNumber,Client,Staff,Source,Title,Resolution,HelpTopic,DataOn,DueDate,ClosedDate,ModifiedDate,KYC
1,IT105234,User,ITSupport,Email,Account got locked because of 3 wrong attempts os password. Could you please reset the password,Unlocked the account and new password is sent to your email id.,Access Requests,15-12-2015 18:12,NULL,15-12-2015 20:53,15-12-2015 18:12,YYY
2,IT1058764,User,ITSupport,Email,Account locked. Not able to login,Unlocked the account and new password is sent to your email id.,Access Requests,15-12-2015 18:12,NULL,15-12-2015 20:53,15-12-2015 18:12,YYY
3,IT921345,User,ITSupport,Web,Computer is not getting switched on,Contact IT support.,Hardware Issue,6/24/2016 14:30,NULL,7/28/2016 18:55,6/24/2016 14:30,YY
4,IT807771,User,ITSupport,Email,Configure outlook in my system,IT Team has sent the instructions to configure outlook -follow the instructions onÿhttps://ticket.abc.com/kb/faq.phpÿand click on O365 and solution and then outlook configuration for your machines,Email Services,2/15/2016 17:47,NULL,2/15/2016 17:48,2/15/2016 17:47,YY
5,IT581693,User,ITSupport,Email,Creation of mail id for new Joinee ,IT Team has Created the mail Id and sent the details in separate email.,Newhire Accounts,12/9/2015 20:55,NULL,12/10/2015 13:19,12/9/2015 20:55,YY
6,IT380020,User,ITSupport,Email,Desktop not working,Please check the Power cables are properly plugged  Please write back to us if the Problem still persists.,Hardware Issue,12/31/2015 11:51,NULL,1/4/2016 13:11,12/31/2015 11:51,YY
7,IT123405,User,ITSupport,Email,Facing network/internet issue with wifi xwq090,Go to network tab from bottom right corner choose inn001 network click on connect,Access Requests,8/7/2016 10:00,NULL,8/7/2016 11:50,8/7/2016 10:00,YYY
8,IT241588,User,ITSupport,Email,File Import Error,File size is too large ,Access Requests,5/5/2017 12:34,NULL,5/5/2017 13:27,5/5/2017 13:00,N
9,IT107019,User,ITSupport,Email,Forgot the password can you please reset the password for me.,Go to URL : password.reset.com Enter you login id enter password received reset the password,Access Requests,15-12-2015 18:12,NULL,15-12-2015 20:53,15-12-2015 18:12,YYY
10,IT198749,User,ITSupport,Email,I can not login using my license key ,We cannot give two licenses assigned on single account hence we have given only AD access.<br /><br />,Access Requests,23-02-2016 11:38,NULL,23-02-2016 12:21,23-02-2016 12:21,N
11,IT328378,User,ITSupport,Email,I have not yet received my order,order placed from procurement team delivery is under process.,Accessories,8/11/2017 18:41,NULL,28-11-2017 13:14,16-11-2017 12:20,N
12,IT221367,User,ITSupport,Web,Install Microsoft outlook,Installed micrsoft outlook on your machine and closing the ticket,Software Request,19-01-2016 13:14,NULL,19-01-2016 17:30,19-01-2016 13:14,YYY
13,IT191390,User,ITSupport,Web,install MS office,Please login to web mail and go to settings -office 365 -install applications- download and install MS office for your machine.,Software Installation & Configuration,1/5/2016 23:27,NULL,1/6/2016 13:15,1/6/2016 13:15,YY
14,IT098755,User,ITSupport,Email,Install postgres database on my machine,Go to \imfs\software\postgres location copy postgresql database into local and install,Software Request,19-01-2016 13:14,NULL,19-01-2016 17:30,19-01-2016 13:14,YYY
15,IT937463,User,ITSupport,Email,Jira project creation and user permission,"IT Team created New Project in Jira and shared details with you in separate mail. 
Please pass the details to the concerned users individually know if there are any issues/requirements URL:https://jira.abc.com Project Name: P3DataSystemsKey",Jira Requests,12/16/2015 14:30,NULL,12/16/2015 20:33,12/16/2015 20:33,YY
16,IT197098,User,ITSupport,Web,LAN not working in a VM,changed network settings to Bridged and configured network in VM.,Network & Wireless,3/31/2016 11:54,NULL,3/31/2016 19:08,3/31/2016 19:08,YY
17,IT112989,User,ITSupport,Email,Linux VM for Azuba project,IT Team has created VM as per your requirement and configured accordingly and sent the login details in a separate mail.,Data Center Services /VM Request,1/8/2016 14:16,NULL,1/28/2016 12:38,1/8/2016 14:16,YY
18,IT106071,User,ITSupport,Email,Login credetials are not working says username or password wrong.,Password got expired. New password is sent to your email id,Access Requests,15-12-2015 18:12,NULL,15-12-2015 20:53,15-12-2015 18:12,YYY
19,IT2432345,User,ITSupport,Web,Login Page Down,Login server was down. It is up now. Please check.,Access Requests,10/12/2015 17:46,NULL,11/12/2015 12:26,10/12/2015 17:46,YYY
20,IT243167,User,ITSupport,Web,Login Page is not getting displayed,Login server was down. It is up now. Please check.,Access Requests,10/12/2015 17:46,NULL,11/12/2015 12:26,10/12/2015 17:46,YYY
